epoch,train_loss,test_loss,test_accuracy,test_f1
1,0.688920333981514,0.683964478969574,0.35833333333333334,0.5276073619631901
2,0.6802731841802597,0.6718939185142517,0.35833333333333334,0.5276073619631901
3,0.6634933322668075,0.6481234192848205,0.35833333333333334,0.5276073619631901
4,0.6362477362155914,0.6194009423255921,0.6283333333333333,0.23890784982935154
5,0.6179482698440552,0.6073302745819091,0.6416666666666667,0.0
6,0.6123055040836334,0.6050272464752198,0.6416666666666667,0.0
7,0.610149747133255,0.6040122985839844,0.6416666666666667,0.0
8,0.6111922860145569,0.6035932183265686,0.6416666666666667,0.0
9,0.6100651055574418,0.6031730055809021,0.6416666666666667,0.0
10,0.610434639453888,0.6029390573501587,0.6416666666666667,0.0
11,0.6098246365785599,0.6032299876213074,0.6416666666666667,0.0
12,0.6101167619228363,0.6029663801193237,0.6416666666666667,0.0
13,0.6099280923604965,0.6028196573257446,0.6416666666666667,0.0
14,0.6094134688377381,0.6026785016059876,0.6416666666666667,0.0
15,0.6105273008346558,0.6028320789337158,0.6416666666666667,0.0
16,0.6102454930543899,0.6024903774261474,0.6416666666666667,0.0
17,0.6099240124225617,0.6027624487876893,0.6416666666666667,0.0
18,0.6099809736013413,0.6024635314941407,0.6416666666666667,0.0
19,0.6102900356054306,0.6025794863700866,0.6416666666666667,0.0
20,0.6100564867258071,0.6024792432785034,0.6416666666666667,0.0
21,0.6098838478326798,0.6026356458663941,0.6416666666666667,0.0
22,0.6097416400909423,0.6024372339248657,0.6416666666666667,0.0
23,0.6101911097764969,0.6023522734642028,0.6416666666666667,0.0
24,0.6101360470056534,0.6028428554534913,0.6416666666666667,0.0
25,0.6097093462944031,0.6023594260215759,0.6416666666666667,0.0
