graph_id,gt_num_nodes,gt_num_edges,gt_density,gt_avg_clustering,gt_degree_mean,gt_degree_std,gt_in_degree_mean,gt_in_degree_std,gt_out_degree_mean,gt_out_degree_std,gt_betweenness_mean,gt_betweenness_std,gt_closeness_mean,gt_closeness_std,gt_num_weakly_connected_components,gt_largest_weakly_connected_component_size,gt_num_strongly_connected_components,gt_largest_strongly_connected_component_size,pred_num_nodes,pred_num_edges,pred_density,pred_avg_clustering,pred_degree_mean,pred_degree_std,pred_in_degree_mean,pred_in_degree_std,pred_out_degree_mean,pred_out_degree_std,pred_betweenness_mean,pred_betweenness_std,pred_closeness_mean,pred_closeness_std,pred_num_weakly_connected_components,pred_largest_weakly_connected_component_size,pred_num_strongly_connected_components,pred_largest_strongly_connected_component_size,diff_num_nodes,diff_num_edges,diff_density,diff_avg_clustering,diff_degree_mean,diff_in_degree_mean,diff_out_degree_mean,diff_betweenness_mean,diff_closeness_mean,ks_degree_pvalue,ks_in_degree_pvalue,ks_out_degree_pvalue,ks_betweenness_pvalue,ks_closeness_pvalue,diff_num_wcc,diff_largest_wcc_size,diff_num_scc,diff_largest_scc_size,edge_jaccard
95,6,3,0.1,0.0,1.0,1.0,0.5,0.7637626158259734,0.5,0.5,0.016666666666666666,0.037267799624996496,0.12666666666666668,0.17950549357115012,3,4,6,1,6,8,0.26666666666666666,0.3888888888888889,2.6666666666666665,2.2110831935702664,1.3333333333333333,1.1055415967851332,1.3333333333333333,1.1055415967851332,0.03333333333333333,0.07453559924999299,0.31,0.23021728866442676,3,4,3,4,0,5,0.16666666666666666,0.3888888888888889,1.6666666666666665,0.8333333333333333,0.8333333333333333,0.016666666666666666,0.18333333333333332,0.474025974025974,0.9307359307359307,0.474025974025974,0.9999999999999998,0.474025974025974,0,0,-3,3,0.2222222222222222
15,6,6,0.2,0.2222222222222222,2.0,1.1547005383792515,1.0,0.816496580927726,1.0,0.5773502691896257,0.12500000000000003,0.12247448713915893,0.2850793650793651,0.21142475805703537,2,5,3,4,6,10,0.3333333333333333,0.0,3.3333333333333335,1.8856180831641267,1.6666666666666667,0.9428090415820634,1.6666666666666667,0.9428090415820634,0.10000000000000002,0.11902380714238084,0.4273015873015873,0.2049181144030006,2,5,2,5,0,4,0.1333333333333333,-0.2222222222222222,1.3333333333333335,0.6666666666666667,0.6666666666666667,-0.02500000000000001,0.1422222222222222,0.14285714285714285,0.9307359307359307,0.474025974025974,0.9307359307359307,0.9307359307359307,0,0,-1,1,0.3333333333333333
30,6,10,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.9428090415820634,1.6666666666666667,0.9428090415820634,1.6666666666666667,1.1055415967851334,0.07500000000000001,0.05773502691896258,0.40925925925925927,0.20325809847417173,1,6,4,3,6,20,0.6666666666666666,0.4444444444444444,6.666666666666667,1.4907119849998596,3.3333333333333335,0.7453559924999298,3.3333333333333335,0.7453559924999298,0.08333333333333333,0.07168604389202188,0.7589285714285715,0.08013638105854917,1,6,1,6,0,10,0.3333333333333333,0.1111111111111111,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.008333333333333318,0.34966931216931224,0.025974025974025972,0.14285714285714285,0.474025974025974,0.9307359307359307,0.025974025974025972,0,0,-3,3,0.36363636363636365
158,6,7,0.23333333333333334,0.19444444444444445,2.3333333333333335,0.9428090415820634,1.1666666666666667,1.0671873729054748,1.1666666666666667,0.6871842709362768,0.025000000000000005,0.055901699437494755,0.2634920634920635,0.24655857573266793,1,6,5,2,6,16,0.5333333333333333,0.5277777777777778,5.333333333333333,1.8856180831641267,2.6666666666666665,0.9428090415820634,2.6666666666666665,0.9428090415820634,0.15000000000000002,0.16329931618554522,0.6495009620009621,0.1222171260675551,1,6,1,6,0,9,0.3,0.33333333333333337,2.9999999999999996,1.4999999999999998,1.4999999999999998,0.12500000000000003,0.3860088985088986,0.14285714285714285,0.474025974025974,0.14285714285714285,0.474025974025974,0.025974025974025972,0,0,-4,4,0.4375
128,6,8,0.26666666666666666,0.15277777777777776,2.6666666666666665,0.9428090415820634,1.3333333333333333,1.3743685418725538,1.3333333333333333,0.9428090415820634,0.008333333333333333,0.008333333333333333,0.2722222222222222,0.2857197971249731,1,6,6,1,6,10,0.3333333333333333,0.0,3.3333333333333335,1.8856180831641267,1.6666666666666667,0.9428090415820634,1.6666666666666667,0.9428090415820634,0.09999999999999999,0.11902380714238084,0.4273015873015873,0.2049181144030006,2,5,2,5,0,2,0.06666666666666665,-0.15277777777777776,0.666666666666667,0.3333333333333335,0.3333333333333335,0.09166666666666666,0.1550793650793651,0.474025974025974,0.9307359307359307,0.9307359307359307,0.14285714285714285,0.474025974025974,1,-1,-4,4,0.38461538461538464
115,6,6,0.2,0.25,2.0,1.2909944487358056,1.0,1.1547005383792515,1.0,0.816496580927726,0.016666666666666666,0.027638539919628335,0.2222222222222222,0.2543449587168799,2,5,6,1,6,12,0.4,0.27777777777777773,4.0,2.0,2.0,1.0,2.0,1.0,0.06666666666666667,0.062360956446232366,0.48,0.2198989666996086,2,5,2,5,0,6,0.2,0.027777777777777735,2.0,1.0,1.0,0.05,0.2577777777777778,0.14285714285714285,0.474025974025974,0.474025974025974,0.474025974025974,0.474025974025974,0,0,-4,4,0.38461538461538464
69,6,9,0.3,0.2722222222222222,3.0,1.0,1.5,0.7637626158259734,1.5,0.7637626158259734,0.21666666666666667,0.1717960677340692,0.41372053872053877,0.1917109486618906,1,6,2,5,6,14,0.4666666666666667,0.38888888888888884,4.666666666666667,2.211083193570267,2.3333333333333335,1.1055415967851334,2.3333333333333335,1.1055415967851334,0.16666666666666666,0.20548046676563256,0.6286676286676286,0.13464040333350275,1,6,1,6,0,5,0.16666666666666669,0.11666666666666664,1.666666666666667,0.8333333333333335,0.8333333333333335,-0.05000000000000002,0.21494708994708983,0.474025974025974,0.474025974025974,0.9307359307359307,0.9307359307359307,0.474025974025974,0,0,-1,1,0.4375
170,6,4,0.13333333333333333,0.0,1.3333333333333333,0.74535599249993,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.74535599249993,0.016666666666666666,0.023570226039551587,0.15555555555555556,0.11331154474650633,2,5,6,1,6,12,0.4,0.27777777777777773,4.0,2.0,2.0,1.0,2.0,1.0,0.06666666666666667,0.062360956446232366,0.48,0.2198989666996086,2,5,2,5,0,8,0.2666666666666667,0.27777777777777773,2.666666666666667,1.3333333333333335,1.3333333333333335,0.05,0.3244444444444444,0.025974025974025972,0.025974025974025972,0.14285714285714285,0.9307359307359307,0.025974025974025972,0,0,-4,4,0.3333333333333333
174,6,6,0.2,0.125,2.0,1.1547005383792515,1.0,1.1547005383792515,1.0,0.5773502691896257,0.03333333333333333,0.047140452079103175,0.24416666666666667,0.28358444754409384,1,6,6,1,6,16,0.5333333333333333,0.5833333333333334,5.333333333333333,2.2110831935702664,2.6666666666666665,1.1055415967851332,2.6666666666666665,1.1055415967851332,0.13333333333333333,0.1674979270186815,0.6769179894179894,0.1284861597241927,1,6,1,6,0,10,0.3333333333333333,0.45833333333333337,3.333333333333333,1.6666666666666665,1.6666666666666665,0.1,0.4327513227513228,0.14285714285714285,0.474025974025974,0.14285714285714285,0.9307359307359307,0.14285714285714285,0,0,-5,5,0.375
45,6,6,0.2,0.0,2.0,1.2909944487358056,1.0,1.0,1.0,0.816496580927726,0.03333333333333333,0.05527707983925667,0.23888888888888885,0.24049845357681512,2,5,5,2,6,6,0.2,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.05000000000000001,0.11180339887498951,0.28,0.21540659228538014,3,4,3,4,0,0,0.0,0.0,0.0,0.0,0.0,0.016666666666666677,0.04111111111111118,0.9999999999999998,0.9307359307359307,0.9999999999999998,0.9999999999999998,0.9307359307359307,1,-1,-2,2,0.2
66,6,4,0.13333333333333333,0.0,1.3333333333333333,0.74535599249993,0.6666666666666666,0.74535599249993,0.6666666666666666,0.74535599249993,0.008333333333333333,0.018633899812498248,0.14444444444444446,0.15595187608464667,2,5,6,1,6,10,0.3333333333333333,0.0,3.3333333333333335,1.8856180831641267,1.6666666666666667,0.9428090415820634,1.6666666666666667,0.9428090415820634,0.10000000000000002,0.11902380714238084,0.4273015873015873,0.2049181144030006,2,5,2,5,0,6,0.19999999999999998,0.0,2.0,1.0,1.0,0.09166666666666669,0.2828571428571428,0.14285714285714285,0.474025974025974,0.474025974025974,0.474025974025974,0.14285714285714285,0,0,-4,4,0.2727272727272727
182,6,9,0.3,0.13888888888888887,3.0,0.5773502691896257,1.5,0.9574271077563381,1.5,0.7637626158259734,0.21666666666666667,0.11785113019775793,0.4262866762866763,0.21693235010566542,1,6,2,5,6,22,0.7333333333333333,0.7111111111111111,7.333333333333333,1.4907119849998596,3.6666666666666665,0.7453559924999298,3.6666666666666665,0.7453559924999298,0.06666666666666667,0.053575837561071975,0.8015873015873017,0.10347940325718491,1,6,1,6,0,13,0.4333333333333333,0.5722222222222223,4.333333333333333,2.1666666666666665,2.1666666666666665,-0.15000000000000002,0.3753006253006254,0.0021645021645021645,0.025974025974025972,0.025974025974025972,0.14285714285714285,0.025974025974025972,0,0,-1,1,0.4090909090909091
165,6,4,0.13333333333333333,0.0,1.3333333333333333,0.4714045207910317,0.6666666666666666,0.74535599249993,0.6666666666666666,0.74535599249993,0.0,0.0,0.13333333333333333,0.14907119849998599,2,3,6,1,6,6,0.2,0.0,2.0,1.1547005383792515,1.0,0.5773502691896257,1.0,0.5773502691896257,0.016666666666666666,0.037267799624996496,0.2222222222222222,0.11967032904743344,3,3,3,3,0,2,0.06666666666666668,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.016666666666666666,0.08888888888888888,0.474025974025974,0.9307359307359307,0.9307359307359307,0.9999999999999998,0.9307359307359307,1,0,-3,2,0.25
78,6,6,0.2,0.3611111111111111,2.0,1.1547005383792515,1.0,0.816496580927726,1.0,0.816496580927726,0.075,0.09013878188659973,0.2611904761904762,0.1922484515417001,2,5,4,3,6,10,0.3333333333333333,0.0,3.3333333333333335,1.49071198499986,1.6666666666666667,0.74535599249993,1.6666666666666667,0.74535599249993,0.26666666666666666,0.29814239699997197,0.5081955081955082,0.11574508151033627,1,6,1,6,0,4,0.1333333333333333,-0.3611111111111111,1.3333333333333335,0.6666666666666667,0.6666666666666667,0.19166666666666665,0.247005032005032,0.9307359307359307,0.9307359307359307,0.9307359307359307,0.474025974025974,0.14285714285714285,-1,1,-3,3,0.3333333333333333
