epoch,train_loss,val_loss,val_accuracy,val_f1
1,0.5712124746186392,0.5757434439659118,0.6004761904761905,0.05518018018018018
2,0.5544058837209429,0.5672843599319458,0.5980952380952381,0.10021321961620469
3,0.5485474814687457,0.5602298974990845,0.5935714285714285,0.05008347245409015
4,0.5454736954825266,0.5528783178329468,0.6033333333333334,0.0392156862745098
5,0.5403769905226571,0.5513123440742492,0.6009523809523809,0.0851528384279476
6,0.5382883702005659,0.5461701154708862,0.5988095238095238,0.047484454494064444
7,0.5349703805787223,0.5409711265563965,0.6071428571428571,0.2479489516864175
8,0.5282499752725873,0.5379589438438416,0.6054761904761905,0.2981787378229564
9,0.5237977913447789,0.537820258140564,0.6161904761904762,0.3157894736842105
10,0.519972939150674,0.5275414729118347,0.6288095238095238,0.3639330885352917
11,0.5103647678239005,0.5236674857139587,0.6223809523809524,0.3408146300914381
12,0.5076136084965297,0.5246691417694092,0.6278571428571429,0.3254208027621925
13,0.5050744836671012,0.5143178534507752,0.6292857142857143,0.3744475693049417
14,0.49823353460856845,0.512890682220459,0.6371428571428571,0.37387017255546423
15,0.494798447063991,0.5054362440109252,0.6309523809523809,0.3547044129891757
16,0.4892656333105905,0.5039034461975098,0.6278571428571429,0.39861485186610235
17,0.4835581416743142,0.4990900683403015,0.6285714285714286,0.44562899786780386
18,0.48156427264213564,0.4908018970489502,0.6295238095238095,0.4321167883211679
19,0.4769334978716714,0.4881367301940918,0.6426190476190476,0.4367729831144465
20,0.4722807695184435,0.4788922166824341,0.6511904761904762,0.49184876864377386
21,0.4672900901521955,0.4786642456054688,0.6480952380952381,0.49864314789687925
22,0.4618070227759225,0.4685396921634674,0.6666666666666666,0.5279838165879973
23,0.4573970511981419,0.4575004982948303,0.6745238095238095,0.5147319843805467
24,0.45003313796860833,0.4561168074607849,0.660952380952381,0.5172881355932203
25,0.44887215273720876,0.451347234249115,0.6797619047619048,0.5550777373470063
26,0.44249430554253716,0.4550858509540558,0.6761904761904762,0.5320027529249828
27,0.43480820843151635,0.4438826560974121,0.679047619047619,0.5574523965856861
28,0.4345012058530535,0.4459846270084381,0.6769047619047619,0.5750078296273098
29,0.4269532380785261,0.4412017047405243,0.6838095238095238,0.5727155727155727
30,0.4281409796646663,0.43457584619522094,0.6873809523809524,0.5738396624472574
31,0.41737897992134093,0.42901471972465516,0.7007142857142857,0.6023410313192028
32,0.41479474663734434,0.4291147553920746,0.6992857142857143,0.5863085489682279
33,0.4088662087917328,0.4329480516910553,0.6957142857142857,0.6077348066298343
34,0.4070956371511732,0.423737051486969,0.7014285714285714,0.6068965517241379
35,0.40244866558483666,0.420929788351059,0.7121428571428572,0.6148454921949665
36,0.39741592730794634,0.41807464599609373,0.704047619047619,0.6104669382638671
37,0.3959211267743792,0.4154255127906799,0.7104761904761905,0.6232961586121437
38,0.3946508821419307,0.4079010236263275,0.7264285714285714,0.6491603053435114
39,0.3826743449483599,0.40588612914085387,0.7247619047619047,0.6557474687313878
40,0.3817267279965537,0.40128846883773805,0.7295238095238096,0.6368286445012787
41,0.3773323508671352,0.39680483102798464,0.7295238095238096,0.6584485868911606
42,0.3723829209804535,0.40597618103027344,0.7147619047619047,0.6343101343101343
43,0.36792120805808476,0.3899818527698517,0.7371428571428571,0.6648451730418944
44,0.3661951392037528,0.38624596953392026,0.7438095238095238,0.6753168376584189
