epoch,train_loss,test_loss,test_accuracy,test_f1
1,0.6307374835014343,0.6116903424263,0.565,0.1809623430962343
2,0.6046969413757324,0.6043225169181824,0.5755555555555556,0.14732142857142858
3,0.6019895911216736,0.6064094066619873,0.5755555555555556,0.04020100502512563
4,0.6037663578987121,0.6021777391433716,0.5777777777777777,0.09090909090909091
5,0.5990940690040588,0.6044530153274537,0.5722222222222222,0.07894736842105263
6,0.5986621707677842,0.6013269186019897,0.5702777777777778,0.11650485436893204
7,0.5986095845699311,0.6042675256729126,0.5775,0.09518143961927424
8,0.5968411177396774,0.6034226894378663,0.5722222222222222,0.08875739644970414
9,0.5958125501871109,0.6019241571426391,0.5766666666666667,0.08851674641148326
10,0.5956288278102875,0.6011268615722656,0.5755555555555556,0.04020100502512563
11,0.5950345546007156,0.6009262442588806,0.5741666666666667,0.056615384615384616
12,0.5932907372713089,0.5994040727615356,0.5741666666666667,0.08038392321535692
13,0.5924975365400315,0.5998352408409119,0.5725,0.07789095266626722
14,0.5911586195230484,0.5986964106559753,0.5766666666666667,0.1476510067114094
15,0.5893883526325225,0.5968989968299866,0.5905555555555555,0.26226226226226224
16,0.5892157554626465,0.5981937289237976,0.58,0.17014270032930845
17,0.5882327437400818,0.5995720028877258,0.5813888888888888,0.33111407012871724
18,0.5893692970275879,0.5959402322769165,0.5936111111111111,0.21301775147928995
19,0.5870029032230377,0.5985357522964477,0.5866666666666667,0.19130434782608696
20,0.5861427426338196,0.5963059186935424,0.5852777777777778,0.2960867515322961
21,0.5865060061216354,0.5960247755050659,0.5919444444444445,0.28585318424890616
22,0.5836059391498566,0.594910717010498,0.59,0.2729064039408867
23,0.5834983348846435,0.5961483359336853,0.5916666666666667,0.24070247933884298
24,0.5825531244277954,0.5960598826408386,0.5938888888888889,0.3057929724596391
25,0.5824546694755555,0.5962707281112671,0.5925,0.2653980971457186
26,0.5822904735803605,0.5952506065368652,0.5841666666666666,0.2255561303673047
27,0.5830925136804581,0.598184061050415,0.5877777777777777,0.3142329020332717
28,0.5812400430440903,0.5970402717590332,0.585,0.2858508604206501
29,0.5805482625961303,0.598117196559906,0.595,0.27750247770069375
30,0.579132291674614,0.5978209495544433,0.5902777777777778,0.301940369143398
31,0.5763334304094314,0.6062569141387939,0.5830555555555555,0.30023310023310024
32,0.5789543151855469,0.5990320801734924,0.5866666666666667,0.24081632653061225
33,0.5770820856094361,0.596039891242981,0.5902777777777778,0.3193354868481772
34,0.575503334403038,0.5944581031799316,0.5969444444444445,0.30004823926676316
35,0.5796625196933747,0.5934377789497376,0.5877777777777777,0.25576730190571717
36,0.57610023021698,0.5929476261138916,0.5911111111111111,0.29971455756422455
37,0.5726811826229096,0.5970085740089417,0.5916666666666667,0.3092105263157895
38,0.5714654326438904,0.5915388464927673,0.6016666666666667,0.3254938852304798
39,0.5731760382652282,0.5945529580116272,0.5716666666666667,0.2381422924901186
40,0.5692763298749923,0.5948381304740906,0.5863888888888888,0.2912898619704902
41,0.5715068846940994,0.5908717632293701,0.5991666666666666,0.34853273137697516
42,0.5684703379869461,0.5916858553886414,0.5972222222222222,0.3462578899909829
43,0.5675305634737015,0.5910045385360718,0.5841666666666666,0.3085450346420323
44,0.5675477117300034,0.5889215350151062,0.5958333333333333,0.38633487979755377
45,0.5695152431726456,0.5920315861701966,0.5883333333333334,0.3378016085790885
46,0.5673886090517044,0.5933389306068421,0.5963888888888889,0.37612709317303566
47,0.5671966731548309,0.5903275609016418,0.5866666666666667,0.3433362753751103
48,0.5642142087221146,0.5904041409492493,0.5863888888888888,0.3704016913319239
49,0.5599908471107483,0.5894762516021729,0.5736111111111111,0.368052696582956
50,0.5630667209625244,0.5984026193618774,0.5963888888888889,0.378262729995721
51,0.5625402599573135,0.5894622683525086,0.5891666666666666,0.3655083655083655
52,0.5612622410058975,0.5885553479194641,0.5872222222222222,0.37720033528918695
