graph_id,gt_num_nodes,gt_num_edges,gt_density,gt_avg_clustering,gt_transitivity,gt_degree_mean,gt_degree_std,gt_in_degree_mean,gt_in_degree_std,gt_out_degree_mean,gt_out_degree_std,gt_betweenness_mean,gt_betweenness_std,gt_closeness_mean,gt_closeness_std,gt_local_clustering_mean,gt_local_clustering_std,gt_num_weakly_connected_components,gt_largest_weakly_connected_component_size,gt_num_strongly_connected_components,gt_largest_strongly_connected_component_size,gt_diameter_lcc,gt_calculated_diameter_on_lcc,gt_num_communities_louvain,gt_num_communities_lpa,pred_num_nodes,pred_num_edges,pred_density,pred_avg_clustering,pred_transitivity,pred_degree_mean,pred_degree_std,pred_in_degree_mean,pred_in_degree_std,pred_out_degree_mean,pred_out_degree_std,pred_betweenness_mean,pred_betweenness_std,pred_closeness_mean,pred_closeness_std,pred_local_clustering_mean,pred_local_clustering_std,pred_num_weakly_connected_components,pred_largest_weakly_connected_component_size,pred_num_strongly_connected_components,pred_largest_strongly_connected_component_size,pred_diameter_lcc,pred_calculated_diameter_on_lcc,pred_num_communities_louvain,pred_num_communities_lpa,diff_num_nodes,diff_num_edges,diff_density,diff_avg_clustering,diff_transitivity,diff_diameter_lcc,diff_degree_mean,diff_in_degree_mean,diff_out_degree_mean,diff_betweenness_mean,diff_closeness_mean,diff_local_clustering_mean,diff_num_communities_louvain,diff_num_communities_lpa,ks_degree_pvalue,ks_in_degree_pvalue,ks_out_degree_pvalue,ks_betweenness_pvalue,ks_closeness_pvalue,ks_local_clustering_pvalue,diff_num_wcc,diff_largest_wcc_size,diff_num_scc,diff_largest_scc_size,nmi_louvain,ari_louvain,nmi_lpa,ari_lpa,edge_jaccard
tensor(521),7,10,0.23809523809523808,0.07142857142857142,0.1,2.857142857142857,1.124858267715973,1.4285714285714286,0.9035079029052512,1.4285714285714286,0.9035079029052512,0.1142857142857143,0.10056529562829941,0.31609734803012113,0.14330273334878105,0.07142857142857142,0.08247860988423225,1,7,5,3,-1,True,0,-1,7,8,0.19047619047619047,0.0,0.0,2.2857142857142856,1.0301575072754257,1.1428571428571428,0.989743318610787,1.1428571428571428,0.989743318610787,0.028571428571428574,0.03749527559053243,0.22426303854875282,0.1732990137498161,0.0,0.0,1,7,6,2,-1,True,0,-1,0,-2,-0.047619047619047616,-0.07142857142857142,-0.1,0,-0.5714285714285716,-0.2857142857142858,-0.2857142857142858,-0.08571428571428572,-0.09183430948136831,-0.07142857142857142,0,0,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.21212121212121213,0.5751748251748252,0.5751748251748252,0,0,1,-1,,,,,0.8
tensor(737),7,6,0.14285714285714285,0.32142857142857145,0.75,1.7142857142857142,1.8294640678379568,0.8571428571428571,1.1248582677159729,0.8571428571428571,0.8329931278350428,0.014285714285714287,0.03499271061118826,0.16785714285714287,0.20120808601433246,0.32142857142857145,0.4374088826398532,4,4,5,3,-1,True,0,-1,7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,1.4982983545287878,0.7142857142857143,0.6998542122237651,0.7142857142857143,0.880630571852711,0.02380952380952381,0.03868589716493314,0.1468253968253968,0.13173168787855422,0.0,0.0,4,4,5,3,-1,True,0,-1,0,-1,-0.023809523809523808,-0.32142857142857145,-0.75,0,-0.2857142857142856,-0.1428571428571428,-0.1428571428571428,0.009523809523809525,-0.021031746031746068,-0.32142857142857145,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.5751748251748252,0,0,0,0,,,,,0.5714285714285714
tensor(740),7,7,0.16666666666666666,0.0,0.0,2.0,0.9258200997725514,1.0,0.5345224838248488,1.0,0.9258200997725514,0.07142857142857142,0.08438116736509214,0.22857142857142856,0.12252590596133231,0.0,0.0,1,7,7,1,-1,True,0,-1,7,8,0.19047619047619047,0.0,0.0,2.2857142857142856,1.0301575072754257,1.1428571428571428,1.124858267715973,1.1428571428571428,0.3499271061118826,0.03809523809523809,0.03749527559053243,0.24285714285714288,0.25242587201330613,0.0,0.0,1,7,6,2,-1,True,0,-1,0,1,0.023809523809523808,0.0,0.0,0,0.2857142857142856,0.1428571428571428,0.1428571428571428,-0.03333333333333333,0.014285714285714318,0.0,0,0,0.9999609537692629,0.9627039627039629,0.5751748251748252,0.5751748251748252,0.9627039627039629,1.0,0,0,-1,1,,,,,0.5
tensor(660),7,11,0.2619047619047619,0.1130952380952381,0.125,3.142857142857143,1.2453996981544782,1.5714285714285714,0.9035079029052512,1.5714285714285714,0.4948716593053935,0.15238095238095237,0.11070788511964447,0.37645687645687653,0.19974822833890052,0.1130952380952381,0.17065799031942205,1,7,3,5,-1,True,0,-1,7,13,0.30952380952380953,0.3192918192918193,0.5,3.7142857142857144,1.6659862556700857,1.8571428571428572,1.2453996981544782,1.8571428571428572,0.6388765649999398,0.1285714285714286,0.1129384878631564,0.4152847152847152,0.2329853815338244,0.3192918192918193,0.2315560489414042,1,7,3,5,-1,True,0,-1,0,2,0.047619047619047616,0.20619658119658124,0.375,0,0.5714285714285716,0.2857142857142858,0.2857142857142858,-0.02380952380952378,0.03882783882783869,0.20619658119658124,0,0,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9627039627039629,0.21212121212121213,0,0,0,0,,,,,0.7142857142857143
tensor(411),7,13,0.30952380952380953,0.5935374149659864,0.4,3.7142857142857144,1.9059520091609048,1.8571428571428572,1.2453996981544782,1.8571428571428572,1.1248582677159729,0.09523809523809523,0.14603605928757765,0.4634070294784581,0.21106144500913973,0.5935374149659864,0.2848220600742629,1,7,3,5,-1,True,0,-1,7,11,0.2619047619047619,0.41156462585034015,0.2777777777777778,3.142857142857143,1.5518257844571737,1.5714285714285714,0.9035079029052512,1.5714285714285714,1.2936264483053452,0.03809523809523809,0.05957140953903239,0.32956349206349206,0.1760342239366441,0.41156462585034015,0.393236116058578,1,7,5,3,-1,True,0,-1,0,-2,-0.047619047619047616,-0.1819727891156463,-0.12222222222222223,0,-0.5714285714285716,-0.2857142857142858,-0.2857142857142858,-0.05714285714285714,-0.13384353741496602,-0.1819727891156463,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.5751748251748252,0.5751748251748252,0,0,2,-2,,,,,0.7142857142857143
tensor(678),7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,1.049781318335648,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.6998542122237651,0.019047619047619046,0.030116930096841705,0.13888888888888887,0.12858612496840993,0.0,0.0,3,4,6,2,-1,True,0,-1,7,6,0.14285714285714285,0.0,0.0,1.7142857142857142,1.2777531299998797,0.8571428571428571,1.1248582677159729,0.8571428571428571,0.3499271061118826,0.028571428571428574,0.03749527559053243,0.17498110355253213,0.23363346343996233,0.0,0.0,2,6,6,2,-1,True,0,-1,0,1,0.023809523809523808,0.0,0.0,0,0.2857142857142856,0.1428571428571428,0.1428571428571428,0.009523809523809528,0.03609221466364326,0.0,0,0,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9999609537692629,0.9627039627039629,1.0,-1,2,0,0,,,,,0.5714285714285714
tensor(626),7,12,0.2857142857142857,0.19047619047619047,0.2857142857142857,3.4285714285714284,0.7284313590846836,1.7142857142857142,1.0301575072754257,1.7142857142857142,0.880630571852711,0.09047619047619047,0.06537871532259991,0.3724275724275724,0.23893284642529394,0.19047619047619047,0.13149239306175312,1,7,4,4,-1,True,0,-1,7,12,0.2857142857142857,0.3585164835164835,0.35,3.4285714285714284,1.761261143705422,1.7142857142857142,1.1605769149479943,1.7142857142857142,1.2777531299998799,0.05714285714285715,0.07284313590846836,0.3597883597883599,0.20234204419018986,0.3585164835164835,0.3563336140295787,1,7,4,4,-1,True,0,-1,0,0,0.0,0.16804029304029305,0.06428571428571428,0,0.0,0.0,0.0,-0.033333333333333326,-0.012639212639212527,0.16804029304029305,0,0,0.5751748251748252,0.9999609537692629,0.9627039627039629,0.5751748251748252,0.9627039627039629,0.21212121212121213,0,0,0,0,,,,,0.3333333333333333
tensor(513),7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,1.178030178747903,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.6998542122237652,0.02380952380952381,0.03868589716493314,0.14484126984126983,0.13806444648503813,0.0,0.0,3,5,6,2,-1,True,0,-1,7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,0.9035079029052513,0.7142857142857143,0.6998542122237652,0.7142857142857143,1.0301575072754257,0.0047619047619047615,0.011664236870396087,0.12698412698412698,0.12140522651411392,0.0,0.0,2,6,7,1,-1,True,0,-1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.01904761904761905,-0.01785714285714285,0.0,0,0,0.9999609537692629,1.0,0.9999609537692629,0.9627039627039629,0.9999609537692629,1.0,-1,1,1,-1,,,,,0.42857142857142855
tensor(859),7,11,0.2619047619047619,0.32017543859649117,0.35,3.142857142857143,2.0303814862216996,1.5714285714285714,1.2936264483053452,1.5714285714285714,1.3997084244475304,0.03333333333333333,0.07506610843064024,0.3183673469387755,0.226541847691792,0.3201754385964913,0.2465186527613231,2,6,5,3,-1,True,0,-1,7,11,0.2619047619047619,0.4178876678876679,0.5,3.142857142857143,1.8844151368961313,1.5714285714285714,1.5907898179514348,1.5714285714285714,0.7284313590846835,0.047619047619047616,0.06809690307654805,0.3287981859410431,0.2946482765287091,0.41788766788766785,0.2882497235780951,2,6,4,4,-1,True,0,-1,0,0,0.0,0.09771222929117673,0.15000000000000002,0,0.0,0.0,0.0,0.014285714285714284,0.0104308390022676,0.09771222929117657,0,0,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9627039627039629,0,0,-1,1,,,,,0.4666666666666667
tensor(136),7,10,0.23809523809523808,0.2380952380952381,0.35714285714285715,2.857142857142857,1.7261494247992246,1.4285714285714286,1.2936264483053452,1.4285714285714286,1.178030178747903,0.05714285714285715,0.06834619092574916,0.28015873015873016,0.2228682502997804,0.2380952380952381,0.1769930241909124,2,6,5,3,-1,True,0,-1,7,10,0.23809523809523808,0.2507936507936508,0.4,2.857142857142857,1.355261854357877,1.4285714285714286,1.2936264483053452,1.4285714285714286,0.9035079029052512,0.07142857142857142,0.08438116736509214,0.28656462585034015,0.22696950111563488,0.2507936507936508,0.1928032454571389,1,7,6,2,-1,True,0,-1,0,0,0.0,0.012698412698412681,0.04285714285714287,0,0.0,0.0,0.0,0.014285714285714277,0.006405895691609986,0.012698412698412681,0,0,0.9999609537692629,1.0,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9999609537692629,-1,1,1,-1,,,,,0.6666666666666666
