graph_id,gt_num_nodes,gt_num_edges,gt_density,gt_avg_clustering,gt_degree_mean,gt_degree_std,gt_in_degree_mean,gt_in_degree_std,gt_out_degree_mean,gt_out_degree_std,gt_betweenness_mean,gt_betweenness_std,gt_closeness_mean,gt_closeness_std,gt_num_weakly_connected_components,gt_largest_weakly_connected_component_size,gt_num_strongly_connected_components,gt_largest_strongly_connected_component_size,pred_num_nodes,pred_num_edges,pred_density,pred_avg_clustering,pred_degree_mean,pred_degree_std,pred_in_degree_mean,pred_in_degree_std,pred_out_degree_mean,pred_out_degree_std,pred_betweenness_mean,pred_betweenness_std,pred_closeness_mean,pred_closeness_std,pred_num_weakly_connected_components,pred_largest_weakly_connected_component_size,pred_num_strongly_connected_components,pred_largest_strongly_connected_component_size,diff_num_nodes,diff_num_edges,diff_density,diff_avg_clustering,diff_degree_mean,diff_in_degree_mean,diff_out_degree_mean,diff_betweenness_mean,diff_closeness_mean,ks_degree_pvalue,ks_in_degree_pvalue,ks_out_degree_pvalue,ks_betweenness_pvalue,ks_closeness_pvalue,diff_num_wcc,diff_largest_wcc_size,diff_num_scc,diff_largest_scc_size,edge_jaccard
tensor(521),7,10,0.23809523809523808,0.07142857142857142,2.857142857142857,1.124858267715973,1.4285714285714286,0.9035079029052512,1.4285714285714286,0.9035079029052512,0.1142857142857143,0.10056529562829941,0.31609734803012113,0.14330273334878105,1,7,5,3,7,14,0.3333333333333333,0.21428571428571427,4.0,2.138089935299395,2.0,1.0690449676496976,2.0,1.0690449676496976,0.20952380952380953,0.2530539096302175,0.5126959874859034,0.11232843030331513,1,7,1,7,0,4,0.09523809523809523,0.14285714285714285,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.09523809523809523,0.19659863945578226,0.5751748251748252,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.05303030303030303,0,0,-4,4,0.5
tensor(737),7,6,0.14285714285714285,0.32142857142857145,1.7142857142857142,1.8294640678379568,0.8571428571428571,1.1248582677159729,0.8571428571428571,0.8329931278350428,0.014285714285714287,0.03499271061118826,0.16785714285714287,0.20120808601433246,4,4,5,3,7,8,0.19047619047619047,0.33333333333333337,2.2857142857142856,2.249716535431946,1.1428571428571428,1.124858267715973,1.1428571428571428,1.124858267715973,0.019047619047619046,0.046656947481584346,0.22142857142857145,0.19929723469005292,4,4,4,4,0,2,0.047619047619047616,0.011904761904761918,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.004761904761904759,0.053571428571428575,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0,0,-1,1,0.5555555555555556
tensor(740),7,7,0.16666666666666666,0.0,2.0,0.9258200997725514,1.0,0.5345224838248488,1.0,0.9258200997725514,0.07142857142857142,0.08438116736509214,0.22857142857142856,0.12252590596133231,1,7,7,1,7,14,0.3333333333333333,0.0,4.0,1.5118578920369088,2.0,0.7559289460184544,2.0,0.7559289460184544,0.1904761904761905,0.1570706904997204,0.5272727272727272,0.08360247760743417,1,7,1,7,0,7,0.16666666666666666,0.0,2.0,1.0,1.0,0.11904761904761907,0.2987012987012987,0.05303030303030303,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.008158508158508158,0,0,-6,6,0.4
tensor(660),7,11,0.2619047619047619,0.1130952380952381,3.142857142857143,1.2453996981544782,1.5714285714285714,0.9035079029052512,1.5714285714285714,0.4948716593053935,0.15238095238095237,0.11070788511964447,0.37645687645687653,0.19974822833890052,1,7,3,5,7,18,0.42857142857142855,0.2857142857142857,5.142857142857143,2.099562636671296,2.5714285714285716,1.049781318335648,2.5714285714285716,1.049781318335648,0.14285714285714285,0.14661718398419668,0.6045145330859617,0.11187694280407656,1,7,1,7,0,7,0.16666666666666663,0.17261904761904762,2.0000000000000004,1.0000000000000002,1.0000000000000002,-0.009523809523809518,0.22805765662908517,0.5751748251748252,0.9627039627039629,0.5751748251748252,0.5751748251748252,0.21212121212121213,0,0,-2,2,0.6111111111111112
tensor(411),7,13,0.30952380952380953,0.5935374149659864,3.7142857142857144,1.9059520091609048,1.8571428571428572,1.2453996981544782,1.8571428571428572,1.1248582677159729,0.09523809523809523,0.14603605928757765,0.4634070294784581,0.21106144500913973,1,7,3,5,7,24,0.5714285714285714,0.7952380952380952,6.857142857142857,2.996596709057576,3.4285714285714284,1.498298354528788,3.4285714285714284,1.498298354528788,0.08571428571428572,0.12830660557435694,0.7248299319727892,0.1434221092787292,1,7,1,7,0,11,0.26190476190476186,0.20170068027210875,3.1428571428571423,1.5714285714285712,1.5714285714285712,-0.009523809523809518,0.26142290249433114,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.9999609537692629,0.05303030303030303,0,0,-2,2,0.5416666666666666
tensor(678),7,5,0.11904761904761904,0.0,1.4285714285714286,1.049781318335648,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.6998542122237651,0.019047619047619046,0.030116930096841705,0.13888888888888887,0.12858612496840993,3,4,6,2,7,10,0.23809523809523808,0.0,2.857142857142857,1.8070158058105026,1.4285714285714286,0.9035079029052513,1.4285714285714286,0.9035079029052513,0.15238095238095237,0.19424836242258228,0.3629967915682202,0.17301870200092828,2,6,2,6,0,5,0.11904761904761904,0.0,1.4285714285714286,0.7142857142857143,0.7142857142857143,0.13333333333333333,0.2241079026793313,0.21212121212121213,0.9627039627039629,0.9627039627039629,0.5751748251748252,0.05303030303030303,-1,2,-4,4,0.5
tensor(626),7,12,0.2857142857142857,0.19047619047619047,3.4285714285714284,0.7284313590846836,1.7142857142857142,1.0301575072754257,1.7142857142857142,0.880630571852711,0.09047619047619047,0.06537871532259991,0.3724275724275724,0.23893284642529394,1,7,4,4,7,25,0.5952380952380952,0.5396825396825397,7.142857142857143,1.551825784457174,3.5714285714285716,0.7284313590846836,3.5714285714285716,0.9035079029052513,0.08095238095238093,0.05047020030344332,0.717687074829932,0.0675579049865347,1,7,1,7,0,13,0.30952380952380953,0.3492063492063492,3.714285714285715,1.8571428571428574,1.8571428571428574,-0.009523809523809545,0.3452595024023596,0.0005827505827505828,0.05303030303030303,0.21212121212121213,0.9627039627039629,0.008158508158508158,0,0,-3,3,0.37037037037037035
tensor(513),7,5,0.11904761904761904,0.0,1.4285714285714286,1.178030178747903,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.6998542122237652,0.02380952380952381,0.03868589716493314,0.14484126984126983,0.13806444648503813,3,5,6,2,7,8,0.19047619047619047,0.0,2.2857142857142856,1.979486637221574,1.1428571428571428,0.989743318610787,1.1428571428571428,0.989743318610787,0.07619047619047618,0.1256276757930754,0.27724867724867724,0.19045855297529832,3,5,3,5,0,3,0.07142857142857142,0.0,0.857142857142857,0.4285714285714285,0.4285714285714285,0.052380952380952375,0.13240740740740742,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.21212121212121213,0,0,-3,3,0.625
tensor(859),7,11,0.2619047619047619,0.32017543859649117,3.142857142857143,2.0303814862216996,1.5714285714285714,1.2936264483053452,1.5714285714285714,1.3997084244475304,0.03333333333333333,0.07506610843064024,0.3183673469387755,0.226541847691792,2,6,5,3,7,18,0.42857142857142855,0.6523809523809524,5.142857142857143,2.996596709057576,2.5714285714285716,1.498298354528788,2.5714285714285716,1.498298354528788,0.05714285714285715,0.09209085526577959,0.5265022675736962,0.2403496084274201,2,6,2,6,0,7,0.16666666666666663,0.3322055137844612,2.0000000000000004,1.0000000000000002,1.0000000000000002,0.023809523809523815,0.20813492063492073,0.5751748251748252,0.5751748251748252,0.5751748251748252,0.9627039627039629,0.21212121212121213,0,0,-3,3,0.5263157894736842
tensor(136),7,10,0.23809523809523808,0.2380952380952381,2.857142857142857,1.7261494247992246,1.4285714285714286,1.2936264483053452,1.4285714285714286,1.178030178747903,0.05714285714285715,0.06834619092574916,0.28015873015873016,0.2228682502997804,2,6,5,3,7,14,0.3333333333333333,0.3333333333333333,4.0,2.6186146828319083,2.0,1.3093073414159542,2.0,1.3093073414159542,0.09523809523809523,0.132651316925563,0.44904830619116337,0.21070808199165458,2,6,2,6,0,4,0.09523809523809523,0.0952380952380952,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.038095238095238085,0.1688895760324332,0.5751748251748252,0.9627039627039629,0.9999609537692629,0.9627039627039629,0.05303030303030303,0,0,-3,3,0.6
