graph_id,gt_num_nodes,gt_num_edges,gt_density,gt_avg_clustering,gt_transitivity,gt_degree_mean,gt_degree_std,gt_in_degree_mean,gt_in_degree_std,gt_out_degree_mean,gt_out_degree_std,gt_betweenness_mean,gt_betweenness_std,gt_closeness_mean,gt_closeness_std,gt_local_clustering_mean,gt_local_clustering_std,gt_num_weakly_connected_components,gt_largest_weakly_connected_component_size,gt_num_strongly_connected_components,gt_largest_strongly_connected_component_size,gt_diameter_lcc,gt_calculated_diameter_on_lcc,pred_num_nodes,pred_num_edges,pred_density,pred_avg_clustering,pred_transitivity,pred_degree_mean,pred_degree_std,pred_in_degree_mean,pred_in_degree_std,pred_out_degree_mean,pred_out_degree_std,pred_betweenness_mean,pred_betweenness_std,pred_closeness_mean,pred_closeness_std,pred_local_clustering_mean,pred_local_clustering_std,pred_num_weakly_connected_components,pred_largest_weakly_connected_component_size,pred_num_strongly_connected_components,pred_largest_strongly_connected_component_size,pred_diameter_lcc,pred_calculated_diameter_on_lcc,diff_num_nodes,diff_num_edges,diff_density,diff_avg_clustering,diff_transitivity,diff_diameter_lcc,diff_degree_mean,diff_in_degree_mean,diff_out_degree_mean,diff_betweenness_mean,diff_closeness_mean,diff_local_clustering_mean,ks_degree_pvalue,ks_in_degree_pvalue,ks_out_degree_pvalue,ks_betweenness_pvalue,ks_closeness_pvalue,ks_local_clustering_pvalue,diff_num_wcc,diff_largest_wcc_size,diff_num_scc,diff_largest_scc_size,edge_jaccard
tensor(521),7,10,0.23809523809523808,0.07142857142857142,0.1,2.857142857142857,1.124858267715973,1.4285714285714286,0.9035079029052512,1.4285714285714286,0.9035079029052512,0.1142857142857143,0.10056529562829941,0.31609734803012113,0.14330273334878105,0.07142857142857142,0.08247860988423225,1,7,5,3,-1,True,7,14,0.3333333333333333,0.21428571428571427,0.2727272727272727,4.0,2.138089935299395,2.0,1.0690449676496976,2.0,1.0690449676496976,0.20952380952380953,0.2530539096302175,0.5126959874859034,0.11232843030331513,0.21428571428571427,0.3417309546287458,1,7,1,7,4,True,0,4,0.09523809523809523,0.14285714285714285,0.1727272727272727,5,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.09523809523809523,0.19659863945578226,0.14285714285714285,0.5751748251748252,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.05303030303030303,0.9627039627039629,0,0,-4,4,0.5
tensor(737),7,6,0.14285714285714285,0.32142857142857145,0.75,1.7142857142857142,1.8294640678379568,0.8571428571428571,1.1248582677159729,0.8571428571428571,0.8329931278350428,0.014285714285714287,0.03499271061118826,0.16785714285714287,0.20120808601433246,0.32142857142857145,0.4374088826398532,4,4,5,3,-1,True,7,8,0.19047619047619047,0.33333333333333337,0.6,2.2857142857142856,2.249716535431946,1.1428571428571428,1.124858267715973,1.1428571428571428,1.124858267715973,0.019047619047619046,0.046656947481584346,0.22142857142857145,0.19929723469005292,0.3333333333333333,0.4364357804719848,4,4,4,4,2,True,0,2,0.047619047619047616,0.011904761904761918,-0.15000000000000002,3,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.004761904761904759,0.053571428571428575,0.011904761904761862,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0,0,-1,1,0.5555555555555556
tensor(740),7,7,0.16666666666666666,0.0,0.0,2.0,0.9258200997725514,1.0,0.5345224838248488,1.0,0.9258200997725514,0.07142857142857142,0.08438116736509214,0.22857142857142856,0.12252590596133231,0.0,0.0,1,7,7,1,-1,True,7,14,0.3333333333333333,0.0,0.0,4.0,1.5118578920369088,2.0,0.7559289460184544,2.0,0.7559289460184544,0.1904761904761905,0.1570706904997204,0.5272727272727272,0.08360247760743417,0.0,0.0,1,7,1,7,4,True,0,7,0.16666666666666666,0.0,0.0,5,2.0,1.0,1.0,0.11904761904761907,0.2987012987012987,0.0,0.05303030303030303,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.008158508158508158,1.0,0,0,-6,6,0.4
tensor(660),7,11,0.2619047619047619,0.1130952380952381,0.125,3.142857142857143,1.2453996981544782,1.5714285714285714,0.9035079029052512,1.5714285714285714,0.4948716593053935,0.15238095238095237,0.11070788511964447,0.37645687645687653,0.19974822833890052,0.1130952380952381,0.17065799031942205,1,7,3,5,-1,True,7,18,0.42857142857142855,0.2857142857142857,0.3333333333333333,5.142857142857143,2.099562636671296,2.5714285714285716,1.049781318335648,2.5714285714285716,1.049781318335648,0.14285714285714285,0.14661718398419668,0.6045145330859617,0.11187694280407656,0.2857142857142857,0.329914439536929,1,7,1,7,3,True,0,7,0.16666666666666663,0.17261904761904762,0.20833333333333331,4,2.0000000000000004,1.0000000000000002,1.0000000000000002,-0.009523809523809518,0.22805765662908517,0.17261904761904762,0.5751748251748252,0.9627039627039629,0.5751748251748252,0.5751748251748252,0.21212121212121213,0.5751748251748252,0,0,-2,2,0.6111111111111112
tensor(411),7,13,0.30952380952380953,0.5935374149659864,0.4,3.7142857142857144,1.9059520091609048,1.8571428571428572,1.2453996981544782,1.8571428571428572,1.1248582677159729,0.09523809523809523,0.14603605928757765,0.4634070294784581,0.21106144500913973,0.5935374149659864,0.2848220600742629,1,7,3,5,-1,True,7,24,0.5714285714285714,0.7952380952380952,0.5675675675675675,6.857142857142857,2.996596709057576,3.4285714285714284,1.498298354528788,3.4285714285714284,1.498298354528788,0.08571428571428572,0.12830660557435694,0.7248299319727892,0.1434221092787292,0.7952380952380952,0.24716074804497104,1,7,1,7,2,True,0,11,0.26190476190476186,0.20170068027210875,0.16756756756756752,3,3.1428571428571423,1.5714285714285712,1.5714285714285712,-0.009523809523809518,0.26142290249433114,0.20170068027210875,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.9999609537692629,0.05303030303030303,0.9627039627039629,0,0,-2,2,0.5416666666666666
tensor(678),7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,1.049781318335648,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.6998542122237651,0.019047619047619046,0.030116930096841705,0.13888888888888887,0.12858612496840993,0.0,0.0,3,4,6,2,-1,True,7,10,0.23809523809523808,0.0,0.0,2.857142857142857,1.8070158058105026,1.4285714285714286,0.9035079029052513,1.4285714285714286,0.9035079029052513,0.15238095238095237,0.19424836242258228,0.3629967915682202,0.17301870200092828,0.0,0.0,2,6,2,6,4,True,0,5,0.11904761904761904,0.0,0.0,5,1.4285714285714286,0.7142857142857143,0.7142857142857143,0.13333333333333333,0.2241079026793313,0.0,0.21212121212121213,0.9627039627039629,0.9627039627039629,0.5751748251748252,0.05303030303030303,1.0,-1,2,-4,4,0.5
tensor(626),7,12,0.2857142857142857,0.19047619047619047,0.2857142857142857,3.4285714285714284,0.7284313590846836,1.7142857142857142,1.0301575072754257,1.7142857142857142,0.880630571852711,0.09047619047619047,0.06537871532259991,0.3724275724275724,0.23893284642529394,0.19047619047619047,0.13149239306175312,1,7,4,4,-1,True,7,25,0.5952380952380952,0.5396825396825397,0.5571428571428572,7.142857142857143,1.551825784457174,3.5714285714285716,0.7284313590846836,3.5714285714285716,0.9035079029052513,0.08095238095238093,0.05047020030344332,0.717687074829932,0.0675579049865347,0.5396825396825397,0.17684349170759675,1,7,1,7,2,True,0,13,0.30952380952380953,0.3492063492063492,0.27142857142857146,3,3.714285714285715,1.8571428571428574,1.8571428571428574,-0.009523809523809545,0.3452595024023596,0.3492063492063492,0.0005827505827505828,0.05303030303030303,0.21212121212121213,0.9627039627039629,0.008158508158508158,0.05303030303030303,0,0,-3,3,0.37037037037037035
tensor(513),7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,1.178030178747903,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.6998542122237652,0.02380952380952381,0.03868589716493314,0.14484126984126983,0.13806444648503813,0.0,0.0,3,5,6,2,-1,True,7,8,0.19047619047619047,0.0,0.0,2.2857142857142856,1.979486637221574,1.1428571428571428,0.989743318610787,1.1428571428571428,0.989743318610787,0.07619047619047618,0.1256276757930754,0.27724867724867724,0.19045855297529832,0.0,0.0,3,5,3,5,3,True,0,3,0.07142857142857142,0.0,0.0,4,0.857142857142857,0.4285714285714285,0.4285714285714285,0.052380952380952375,0.13240740740740742,0.0,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.21212121212121213,1.0,0,0,-3,3,0.625
tensor(859),7,11,0.2619047619047619,0.32017543859649117,0.35,3.142857142857143,2.0303814862216996,1.5714285714285714,1.2936264483053452,1.5714285714285714,1.3997084244475304,0.03333333333333333,0.07506610843064024,0.3183673469387755,0.226541847691792,0.3201754385964913,0.2465186527613231,2,6,5,3,-1,True,7,18,0.42857142857142855,0.6523809523809524,0.5454545454545454,5.142857142857143,2.996596709057576,2.5714285714285716,1.498298354528788,2.5714285714285716,1.498298354528788,0.05714285714285715,0.09209085526577959,0.5265022675736962,0.2403496084274201,0.6523809523809524,0.3536014898235614,2,6,2,6,2,True,0,7,0.16666666666666663,0.3322055137844612,0.19545454545454544,3,2.0000000000000004,1.0000000000000002,1.0000000000000002,0.023809523809523815,0.20813492063492073,0.3322055137844611,0.5751748251748252,0.5751748251748252,0.5751748251748252,0.9627039627039629,0.21212121212121213,0.5751748251748252,0,0,-3,3,0.5263157894736842
tensor(136),7,10,0.23809523809523808,0.2380952380952381,0.35714285714285715,2.857142857142857,1.7261494247992246,1.4285714285714286,1.2936264483053452,1.4285714285714286,1.178030178747903,0.05714285714285715,0.06834619092574916,0.28015873015873016,0.2228682502997804,0.2380952380952381,0.1769930241909124,2,6,5,3,-1,True,7,14,0.3333333333333333,0.3333333333333333,0.46153846153846156,4.0,2.6186146828319083,2.0,1.3093073414159542,2.0,1.3093073414159542,0.09523809523809523,0.132651316925563,0.44904830619116337,0.21070808199165458,0.3333333333333333,0.35634832254989923,2,6,2,6,3,True,0,4,0.09523809523809523,0.0952380952380952,0.10439560439560441,4,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.038095238095238085,0.1688895760324332,0.0952380952380952,0.5751748251748252,0.9627039627039629,0.9999609537692629,0.9627039627039629,0.05303030303030303,0.9627039627039629,0,0,-3,3,0.6
